brand_clean,product_count,platforms_available,avg_price,avg_price_per_100g
Modern,13,2,45.31,14.09
The Health Factory,9,2,58.11,27.17
Dhawak,7,1,286.14,79.1
English Oven,7,2,43.29,15.93
Britannia,6,2,39.33,15.09
The Baker'S Dozen,5,2,105.0,93.94
Chatokde,5,1,251.0,88.31
Deluscia,4,1,150.25,
Only Gluten Free,3,1,341.33,155.15
Unknown,2,1,300.0,
Baker'S,1,1,77.0,22.0
Brik Oven,1,1,108.0,27.0
Low,1,1,236.0,236.0
Gullon,1,1,362.0,109.7
Iyengars,1,1,72.0,18.0
Protein Chef,1,1,59.0,21.85
Naturbaked,1,1,66.0,22.0
Wibs,1,1,19.0,9.5
Zero-G,1,1,353.0,
