platform,product_name,brand,pack_display,price_rupees,qty,unit,weight_grams,url,product_name_clean,brand_clean,price_per_100g
Zepto,Britannia Milk Slice White Bread,britannia,400 g,55.0,,,400.0,,britannia milk slice white bread,Britannia,13.750000000000002
Zepto,The Health Factory Zero Maida Multigrain Bread | Clean Label - Not Brown,the health factory,375 g,78.0,,,375.0,,the health factory zero maida multigrain bread clean label not brown,The Health Factory,20.8
Zepto,Modern Milk Plus Bread,modern,350 g,50.0,,,350.0,,modern milk plus bread,Modern,14.285714285714285
Zepto,The Health Factory Zero Maida Milk Bread | Clean Label - Not Brown,the health factory,250 g,57.0,,,250.0,,the health factory zero maida milk bread clean label not brown,The Health Factory,22.8
Zepto,English Oven Milk Bread,english oven,400 g,55.0,,,400.0,,english oven milk bread,English Oven,13.750000000000002
Zepto,The Health Factory Zero Maida Protein Bread | Clean Label - Not Brown,the health factory,250 g,79.0,,,250.0,,the health factory zero maida protein bread clean label not brown,The Health Factory,31.6
Zepto,English Oven Sandwich White Bread,english oven,400 g,55.0,,,400.0,,english oven sandwich white bread,English Oven,13.750000000000002
Zepto,The Health Factory Zero Maida Bombay Pav | Clean Label - Not Brown,the health factory,4 pc,38.0,4.0,pcs,,,the health factory zero maida bombay pav clean label not brown,The Health Factory,
Zepto,Brik Oven Whole Wheat Sourdough Bread,brik oven,400 g,108.0,,,400.0,,brik oven whole wheat sourdough bread,Brik Oven,27.0
Zepto,Modern Baker's Loaf: High Protein Bread,modern,350 g,81.0,,,350.0,,modern baker s loaf high protein bread,Modern,23.142857142857142
Zepto,Baker's Loaf Zero Preservatives Multigrain Bread,baker's,350 g,77.0,,,350.0,,baker s loaf zero preservatives multigrain bread,Baker'S,22.0
Zepto,Iyengars Bakery Special Bread,iyengars,400 g,72.0,,,400.0,,iyengars bakery special bread,Iyengars,18.0
Zepto,Protein Chef High Protein Brown Bread - No Maida Atta Bread,protein chef,270 g,59.0,,,270.0,,protein chef high protein brown bread no maida atta bread,Protein Chef,21.85185185185185
Zepto,Britannia Brown Bread,britannia,400 g,60.0,,,400.0,,britannia brown bread,Britannia,15.0
Zepto,Modern Sandwich Supreme White Bread,modern,800 g,95.0,,,800.0,,modern sandwich supreme white bread,Modern,11.875
Zepto,Naturbaked Zero Maida Superseed Bread,naturbaked,300 g,66.0,,,300.0,,naturbaked zero maida superseed bread,Naturbaked,22.0
Zepto,The Baker's Dozen Zero Maida Milk Bread,the baker's dozen,230 g,50.0,,,230.0,,the baker s dozen zero maida milk bread,The Baker'S Dozen,21.73913043478261
Zepto,Britannia Fruit Bread,britannia,200 g,25.0,,,200.0,,britannia fruit bread,Britannia,12.5
Zepto,English Oven Garlic Bread,english oven,200 g,38.0,,,200.0,,english oven garlic bread,English Oven,19.0
Zepto,Modern Cremtreat Vanilla Cream Bun,modern,1 pc,10.0,1.0,pcs,,,modern cremtreat vanilla cream bun,Modern,
